name,height,weight,position,school,city,state,score,nat_rank,pos_rank,state_rank,website,school_offer
Bryce Underwood,6-3.5 ,205,QB,Belleville,Belleville,MI,0.9998,1,1,1,247,Texas
Julian Lewis,6-0.5 ,185,QB,Carrollton,Carrollton,GA,0.9762,50,6,7,247,Texas
KJ Lacey,6-0 ,175,QB,Saraland,Saraland,AL,0.9336,155,14,11,247,Texas
Luke Dunham,6-3 ,185,QB,Mccallum,Austin,TX,NA,NA,NA,NA,247,Texas
Harlem Berry,5-11 ,175,RB,St Martin's Episcopal School,Metairie,LA,0.9919,15,1,1,247,Texas
Akylin Dear,6-1 ,200,RB,Quitman,Quitman,MS,0.9729,53,2,3,247,Texas
Anthony Rogers,5-8 ,190,RB,Carver,Montgomery,AL,0.9505,97,5,7,247,Texas
Jordon Davison,6-0 ,216,RB,Mater Dei,Santa Ana,CA,0.9299,171,12,14,247,Texas
James Simon,5-11 ,200,RB,Calvary Baptist Academy,Shreveport,LA,0.9298,173,13,6,247,Texas
Alvin Henderson,5-9 ,200,RB,Elba,Elba,AL,0.9214,210,16,14,247,Texas
Tory Blaylock,5-10 ,195,RB,Atascocita,Humble,TX,0.9112,266,17,35,247,Texas
Taevion Swint,5-9 ,185,RB,Osceola,Kissimmee,FL,0.9038,310,23,46,247,Texas
Rickey Stewart,5-10 ,180,RB,Chapel Hill,Tyler,TX,0.8942,416,29,56,247,Texas
Deondrae Riden,5-10 ,195,RB,DeSoto,DeSoto,TX,0.8925,436,33,63,247,Texas
Deandre Desinor,5-8.5 ,175,RB,Atlantic,Delray Beach,FL,0.8869,519,42,68,247,Texas
Riley Wormley,5-9 ,183,RB,Southlake Carroll,Southlake,TX,0.8853,540,44,75,247,Texas
Kane Bowen,6-1 ,200,RB,Sherman,Sherman,TX,0.8447,1843,173,266,247,Texas
Dakorien Moore,5-11 ,182,WR,Duncanville,Duncanville,TX,0.9981,4,1,2,247,Texas
Kaliq Lockett,6-2 ,175,WR,Sachse,Sachse,TX,0.9908,18,2,6,247,Texas
Quincy Porter,6-3 ,200,WR,Bergen Catholic,Oradell,NJ,0.9873,23,5,1,247,Texas
Caleb Cunningham,6-1 ,190,WR,Choctaw County,Ackerman,MS,0.984,32,7,2,247,Texas
Dallas Wilson,6-3 ,195,WR,Tampa Bay Tech,Tampa,FL,0.9827,35,8,4,247,Texas
Jaime Ffrench,6-1 ,185,WR,Mandarin,Jacksonville,FL,0.979,44,9,6,247,Texas
Daylan McCutcheon,5-11 ,175,WR,Lovejoy,Lucas,TX,0.9488,103,13,19,247,Texas
Derick Smith,6-1 ,185,WR,Southside,Selma,AL,0.9472,107,3,8,247,Texas
Andrew Marsh,6-1 ,175,WR,Katy Jordan,Fulshear,TX,0.9448,116,16,22,247,Texas
Jayvan Boggs,6-0.5 ,200,WR,Cocoa,Cocoa,FL,0.9288,178,24,27,247,Texas
Winston Watkins Jr.,5-10 ,172,WR,Venice,Venice,FL,0.9113,265,32,41,247,Texas
Emmanuel Choice,6-4 ,195,WR,Lancaster,Lancaster,TX,0.9027,317,41,45,247,Texas
Marcus Harris,6-0.5 ,185,WR,Mater Dei,Santa Ana,CA,0.8996,352,47,30,247,Texas
De'zie Jones,6-0 ,180,WR,DePaul Catholic,Wayne,NJ,0.8981,368,51,8,247,Texas
Tanook Hines,6-1 ,185,WR,Dekaney,Houston,TX,0.8933,422,59,58,247,Texas
Daylyn Upshaw,5-11.5 ,180,WR,Central,Phenix City,AL,0.8903,470,67,19,247,Texas
Taz Williams Jr,6-0 ,190,WR,Red Oak,Red Oak,TX,0.8883,502,73,73,247,Texas
Carterrious Brown,6-2 ,165,WR,Seguin,Arlington,TX,0.8778,695,104,92,247,Texas
Jadyn Robinson,5-9 ,160,WR,Junipero Serra,Gardena,CA,0.86,1304,177,98,247,Texas
James Johnson,5-10 ,181,WR,Douglas County,Douglasville,GA,0.86,1304,84,149,247,Texas
Linkon Cure,6-5 ,223,TE,Goodland,Goodland,KS,0.9816,37,2,2,247,Texas
Nick Townsend,6-3 ,235,TE,Dekaney,Houston,TX,0.9539,90,5,16,247,Texas
Kaleb Edwards,6-6 ,255,TE,Oak Ridge,El Dorado Hills,CA,0.9318,162,8,13,247,Texas
Ethan Barbour,6-3 ,235,TE,Milton,Alpharetta,GA,0.9306,168,9,21,247,Texas
Hollis Davidson,6-5 ,238,TE,McIntosh,Peachtree City,GA,0.9013,329,18,48,247,Texas
AJ Ia,6-5 ,240,TE,Orange Lutheran,Orange,CA,0.9008,332,19,28,247,Texas
Jack Van Dorselaer,6-5 ,230,TE,Southlake Carroll,Southlake,TX,0.8975,372,18,50,247,Texas
Keiundre Johnson,6-3 ,230,TE,Terrell,Terrell,TX,0.8836,568,42,79,247,Texas
Ryan Ghea,6-5 ,231,TE,Milton,Alpharetta,GA,0.8828,583,30,78,247,Texas
Emaree Winston,6-1.5 ,245,TE,Calhoun,Calhoun,GA,0.8819,601,32,81,247,Texas
Bear Tenney,6-5.5 ,255,TE,Lone Peak,American Fork,UT,0.8686,987,48,11,247,Texas
Michael Fasusi,6-5 ,295,OT,Lewisville,Lewisville,TX,0.9977,5,1,3,247,Texas
